,Title,Published_date,Views,Likes,Comments,month
173,Zara Larsson - Ruin My Life (Official Music Video - Clean),2018-11-07,1465691,23845,406,Nov
174,Zara Larsson - Ruin My Life - London Fan Event,2018-11-05,71971,4620,200,Nov
175,Zara Larsson - Behind the Scenes of Ruin My Life,2018-10-31,235127,8258,282,Oct
176,Zara Larsson - Zara Larsson - Live in Rio,2018-10-26,368347,21934,928,Oct
177,Zara Larsson - Ruin My Life (Official Music Video),2018-10-23,70693549,738385,15831,Oct
178,Zara Larsson – The Meaning of “Ruin My Life”,2018-10-19,104757,5340,263,Oct
179,Zara Larsson - Ruin My Life (Official Audio),2018-10-18,2194317,67022,2642,Oct
180,ZaraLarssonMusicVEVO Live Stream,2017-12-04,0,17,0,Dec
181,Zara Larsson on Tour - Fun Facts!,2017-10-13,59188,1680,121,Oct
182,Zara Larsson - Only You (ft. Nena) [Live],2017-10-08,2734341,51560,1756,Oct
183,Zara Larsson - Don't Let Me Be Yours (Official Video),2017-05-12,19210001,300444,6005,May
184,Zara Larsson - Only You (Live) (Vevo UK),2017-03-21,8343738,129500,3191,Mar
185,Zara Larsson - Only You [Official Audio],2017-03-20,105649,2231,49,Mar
186,Zara Larsson - So Good - Behind the Scenes ft. Ty Dolla $ign,2017-02-20,819141,20453,561,Feb
187,Zara Larsson - So Good (Official Video),2017-02-03,34831926,432186,13805,Feb
188,Zara Larsson - So Good (ft. Ty Dolla Sign) [Official Audio],2017-01-27,83183,2493,130,Jan
189,Zara Larsson - The 'Ain't My Fault' Forum - Responses!,2016-12-22,395242,9129,509,Dec
190,Zara Larsson | Dcode 2016 | pt 2/2,2016-12-15,234799,4651,267,Dec
191,Zara Larsson - I Would Like (Gorgon City Remix) [Official Audio],2016-12-09,421489,5002,119,Dec
192,Zara Larsson - I Would Like (Lyric Video),2016-12-02,49588229,376360,8407,Dec
193,Zara Larsson - Interview from #VevoHalloween 2016,2016-11-24,136762,2566,114,Nov
194,Zara Larsson - Lush Life (Live) - #VevoHalloween 2016,2016-11-24,891302,11571,289,Nov
195,Zara Larsson - Ain't My Fault (Live) - #VevoHalloween 2016,2016-11-24,2126667,32068,960,Nov
196,Zara Larsson - Being Zara Larsson (Vevo UK LIFT),2016-11-18,1644102,30294,902,Nov
197,Zara Larsson - I Would Like (Official Audio),2016-11-14,9225473,90944,2335,Nov
198,Zara Larsson - Ain't My Fault (Official Audio),2016-11-10,14121703,142575,1351,Nov
199,Zara Larsson - Ain't My Fault (Behind The Scenes),2016-11-08,1001688,25961,591,Nov
200,Zara Larsson - Ain't My Fault (Live) - Stripped (Vevo UK LIFT),2016-10-28,6595973,123497,3206,Oct
201,Zara Larsson - Ain't My Fault (Official Video),2016-09-30,403635565,3490677,70878,Sep
202,My Confessions: Zara Larsson,2016-08-18,204292,3327,180,Aug
203,Zara Larsson - Lush Life Rehearsal (BTS) (Vevo LIFT),2016-07-25,589791,12952,540,Jul
204,Zara Larsson - Never Forget You Rehearsal (BTS) (Vevo LIFT),2016-07-21,651486,16599,699,Jul
205,Zara Larsson - Lush Life (Stripped) (Vevo LIFT),2016-07-15,2511687,39299,1293,Jul
206,Zara Larsson - Lush Life (Acapella) (Vevo LIFT),2016-07-14,470769,15322,425,Jul
207,Zara Larsson - Behind the Scenes of Lush Life,2016-07-11,788108,15430,562,Jul
208,Zara Larsson - Never Forget You (Stripped) (Vevo LIFT),2016-07-07,2938540,62653,1789,Jul
209,Zara Larsson - Lush Life (Alternate Version),2016-07-05,65507894,814802,21484,Jul
210,Zara Larsson - Never Forget You (Vevo Show & Tell),2016-06-30,433165,8368,388,Jun
211,Zara Larsson - Becoming (Vevo LIFT),2016-06-20,1094907,19253,844,Jun
212,Zara Larsson - Vevo LIFT Announcement,2016-06-06,426941,9413,295,Jun
213,Zara Larsson - Never Forget You (Live on The Tonight Show Starring Jimmy Fallon),2016-04-15,2849616,57588,2115,Apr
214,Zara Larsson - Lush Life (Acoustic Version) [Official Audio],2016-04-05,1003568,14978,396,Apr
