,Title,Published_date,Views,Likes,Comments,month
62,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),2020-10-02,822824276,7459781,153715,Oct
63,Dua Lipa & The Blessed Madonna - Club Future Nostalgia (Official Visualiser),2020-08-28,5855948,147274,5642,Aug
64,Dua Lipa - Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] (Official Video),2020-08-14,39504597,659290,24787,Aug
65,Dua Lipa - Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] (Official Audio),2020-08-13,2405068,105393,8123,Aug
66,Dua Lipa - Hallucinate [Tensnake Remix] (Official Audio),2020-07-30,1077822,30725,1404,Jul
67,Dua Lipa - Hallucinate (Paul Woolford Remix),2020-07-23,760695,33651,1582,Jul
68,Dua Lipa - Hallucinate (Official Music Video),2020-07-10,81185653,985213,28646,Jul
69,Dua Lipa - Break My Heart (Animated Video),2020-05-08,13561787,238958,5974,May
70,Dua Lipa - Break My Heart (Official Reactions video),2020-04-29,519565,24867,1161,Apr
71,Dua Lipa - Cool (Official Lyrics Video),2020-04-09,22977395,209966,3725,Apr
72,Dua Lipa - Good In Bed (Official Lyrics Video),2020-04-09,21723888,203241,5144,Apr
73,Dua Lipa - Hallucinate (Official Lyrics Video),2020-04-09,17292079,179223,4022,Apr
74,Dua Lipa - Levitating (Official Lyrics Video),2020-04-09,136605152,974207,17216,Apr
75,Dua Lipa - Love Again (Official Lyrics Video),2020-04-09,45136439,296641,5751,Apr
76,Dua Lipa - Pretty Please (Official Lyrics Video),2020-04-09,32416160,234596,2958,Apr
77,Dua Lipa - Physical (Official Lyrics Video),2020-04-09,5000543,53868,887,Apr
78,Dua Lipa - Break My Heart (Official Lyrics Video),2020-04-09,13295008,87835,923,Apr
79,Dua Lipa - Boys Will Be Boys (Official Lyrics Video),2020-04-09,9052499,272496,14273,Apr
80,Dua Lipa - Future Nostalgia Livestream PART 2 - #StayHome  #WithMe,2020-03-27,1057491,36181,1470,Mar
81,Dua Lipa - Future Nostalgia Livestream - #StayHome #WithMe,2020-03-26,1067796,43704,1451,Mar
82,Dua Lipa - Break My Heart (Official Video),2020-03-26,587754687,5500738,99919,Mar
83,Dua Lipa -  Physical (feat. Hwa Sa) (Official Audio),2020-03-18,4152566,283576,14853,Mar
84,Dua Lipa - Let's Get Physical Work Out (Official Video),2020-03-06,39879136,596048,18518,Mar
85,Dua Lipa - Physical (Directors Cut),2020-02-21,19764368,184757,3400,Feb
86,Dua Lipa - Physical (Official Reaction Video),2020-02-13,200377,9391,481,Feb
87,Dua Lipa - Physical (Official Video),2020-01-31,442167882,3415092,69397,Jan
88,Dua Lipa - Don't Start Now [Regard Remix] (Official Audio),2020-01-24,685845,20899,679,Jan
